Item,System,Mean readability (original),Mean readability (reproduction),CV* (%)
582,groundtruth,5.0,3.5,35.188422040035974
583,PAQ,5.0,2.5,66.46701940895684
584,PAQ,5.0,3.0,49.85026455671763
585,PAQ,4.5,1.5,99.70052911343524
586,Ours,5.0,4.0,22.155673136318953
587,Ours,2.0,1.5,28.485865460981504
588,Ours,5.0,4.0,22.155673136318953
589,groundtruth,5.0,4.0,22.155673136318953
590,groundtruth,5.0,3.5,35.188422040035974
591,PAQ,4.0,2.0,66.46701940895684
592,PAQ,4.0,2.5,46.015628821585494
593,PAQ,3.0,2.0,39.88021164537411
594,Ours,5.0,2.5,66.46701940895684
595,Ours,5.0,4.5,10.494792538256343
596,Ours,2.5,2.0,22.155673136318953
639,groundtruth,5.0,5.0,0.0
640,groundtruth,5.0,3.0,49.85026455671763
641,groundtruth,5.0,2.5,66.46701940895684
642,groundtruth,5.0,3.0,49.85026455671763
643,groundtruth,5.0,5.0,0.0
644,groundtruth,5.0,5.0,0.0
645,groundtruth,5.0,3.0,49.85026455671763
646,groundtruth,5.0,3.0,49.85026455671763
647,groundtruth,5.0,3.5,35.188422040035974
648,groundtruth,5.0,4.0,22.155673136318953
649,groundtruth,5.0,4.0,22.155673136318953
650,groundtruth,5.0,1.5,107.3698005836995
651,groundtruth,5.0,3.0,49.85026455671763
652,PAQ,5.0,4.0,22.155673136318953
653,PAQ,5.0,5.0,0.0
654,PAQ,5.0,4.0,22.155673136318953
655,Ours,5.0,3.0,49.85026455671763
656,Ours,5.0,3.0,49.85026455671763
657,Ours,5.0,2.0,85.45759638294449
658,groundtruth,5.0,4.0,22.155673136318953
659,groundtruth,5.0,4.0,22.155673136318953
660,groundtruth,5.0,4.5,10.494792538256343
661,groundtruth,5.0,4.5,10.494792538256343
662,groundtruth,5.0,4.5,10.494792538256343
663,groundtruth,5.0,4.0,22.155673136318953
664,PAQ,3.5,1.0,110.77836568159474
665,PAQ,3.5,1.5,79.76042329074822
666,PAQ,3.5,1.0,110.77836568159474
667,Ours,5.0,4.0,22.155673136318953
668,Ours,5.0,2.5,66.46701940895684
669,Ours,5.0,1.0,132.9340388179137
670,groundtruth,5.0,4.0,22.155673136318953
671,PAQ,3.5,4.0,13.29340388179137
672,PAQ,3.5,1.5,79.76042329074822
673,PAQ,4.5,1.0,126.8915825080085
674,Ours,5.0,5.0,0.0
675,Ours,5.0,2.0,85.45759638294449
676,Ours,5.0,2.5,66.46701940895684
677,groundtruth,5.0,4.5,10.494792538256343
678,groundtruth,5.0,5.0,0.0
679,groundtruth,5.0,4.0,22.155673136318953
680,groundtruth,5.0,4.5,10.494792538256343
681,groundtruth,5.0,4.0,22.155673136318953
682,groundtruth,5.0,4.0,22.155673136318953
683,groundtruth,5.0,4.5,10.494792538256343
684,PAQ,3.0,2.0,39.88021164537411
685,PAQ,5.0,4.5,10.494792538256343
686,PAQ,4.5,4.0,11.729474013345326
687,Ours,5.0,4.0,22.155673136318953
688,Ours,5.0,1.5,107.3698005836995
689,Ours,5.0,4.5,10.494792538256343
719,groundtruth,4.0,4.5,11.729474013345326
720,groundtruth,5.0,5.0,0.0
721,groundtruth,5.0,5.0,0.0
722,PAQ,4.5,4.5,0.0
723,PAQ,5.0,4.5,10.494792538256343
724,PAQ,2.5,2.0,22.155673136318953
725,Ours,5.0,3.5,35.188422040035974
726,Ours,5.0,3.5,35.188422040035974
727,Ours,5.0,4.0,22.155673136318953
728,groundtruth,5.0,4.5,10.494792538256343
729,PAQ,5.0,5.0,0.0
730,PAQ,5.0,5.0,0.0
731,PAQ,3.5,2.5,33.23350970447842
732,Ours,5.0,4.0,22.155673136318953
733,Ours,5.0,5.0,0.0
734,Ours,5.0,2.5,66.46701940895684
735,groundtruth,5.0,5.0,0.0
736,PAQ,5.0,3.0,49.85026455671763
737,PAQ,5.0,2.5,66.46701940895684
738,PAQ,5.0,4.5,10.494792538256343
739,Ours,4.5,4.5,0.0
740,Ours,5.0,5.0,0.0
741,Ours,5.0,5.0,0.0
742,groundtruth,5.0,5.0,0.0
743,PAQ,4.0,3.0,28.485865460981504
744,PAQ,4.0,2.5,46.015628821585494
745,PAQ,4.0,3.0,28.485865460981504
746,Ours,5.0,5.0,0.0
747,Ours,5.0,5.0,0.0
748,Ours,5.0,5.0,0.0
831,groundtruth,5.0,5.0,0.0
832,groundtruth,5.0,5.0,0.0
833,groundtruth,4.5,4.0,11.729474013345326
834,PAQ,5.0,5.0,0.0
835,PAQ,4.0,4.5,11.729474013345326
836,PAQ,4.5,5.0,10.494792538256343
837,Ours,3.5,4.0,13.29340388179137
838,Ours,5.0,5.0,0.0
839,Ours,5.0,4.0,22.155673136318953
840,groundtruth,5.0,4.0,22.155673136318953
841,PAQ,5.0,4.5,10.494792538256343
842,PAQ,4.5,4.0,11.729474013345326
843,PAQ,4.5,4.0,11.729474013345326
844,Ours,5.0,2.0,85.45759638294449
845,Ours,5.0,5.0,0.0
846,Ours,5.0,5.0,0.0
847,groundtruth,5.0,4.5,10.494792538256343
848,PAQ,4.0,2.5,46.015628821585494
849,PAQ,5.0,4.5,10.494792538256343
850,PAQ,3.5,2.0,54.38210678914649
851,Ours,3.5,2.0,54.38210678914649
852,Ours,5.0,5.0,0.0
853,Ours,5.0,4.5,10.494792538256343
854,groundtruth,5.0,4.5,10.494792538256343
855,PAQ,4.5,3.0,39.8802116453741
856,PAQ,4.5,4.0,11.729474013345326
857,PAQ,2.5,2.0,22.155673136318953
858,Ours,5.0,3.0,49.85026455671763
859,Ours,5.0,4.0,22.155673136318953
860,Ours,5.0,2.5,66.46701940895684
875,groundtruth,5.0,4.5,10.494792538256343
876,groundtruth,5.0,4.0,22.155673136318953
877,groundtruth,5.0,4.5,10.494792538256343
878,PAQ,5.0,5.0,0.0
879,PAQ,4.0,3.5,13.29340388179137
880,PAQ,3.5,2.5,33.23350970447842
881,Ours,4.5,4.5,0.0
882,Ours,5.0,5.0,0.0
883,Ours,4.0,4.5,11.729474013345326
884,groundtruth,4.0,4.0,0.0
885,PAQ,5.0,4.5,10.494792538256343
886,PAQ,4.5,4.5,0.0
887,PAQ,2.5,4.5,56.97173092196301
888,Ours,4.0,3.5,13.29340388179137
889,Ours,4.5,2.5,56.97173092196301
890,Ours,5.0,5.0,0.0
891,groundtruth,5.0,3.5,35.188422040035974
892,PAQ,3.5,3.5,0.0
893,PAQ,2.5,4.5,56.97173092196301
894,PAQ,2.5,1.0,85.45759638294449
895,Ours,5.0,4.0,22.155673136318953
896,Ours,5.0,3.0,49.85026455671763
897,Ours,3.5,2.0,54.38210678914649
898,groundtruth,5.0,4.0,22.155673136318953
899,groundtruth,5.0,4.5,10.494792538256343
900,groundtruth,5.0,4.5,10.494792538256343
901,PAQ,5.0,4.0,22.155673136318953
902,PAQ,5.0,4.0,22.155673136318953
903,PAQ,3.0,2.5,18.127368929715505
904,Ours,4.5,2.5,56.97173092196301
905,Ours,3.0,1.5,66.46701940895683
906,Ours,5.0,2.5,66.46701940895684
957,groundtruth,5.0,5.0,0.0
958,groundtruth,5.0,5.0,0.0
959,groundtruth,5.0,5.0,0.0
960,groundtruth,5.0,5.0,0.0
961,groundtruth,5.0,5.0,0.0
962,PAQ,2.5,1.5,49.85026455671763
963,PAQ,2.5,3.0,18.127368929715505
964,PAQ,2.5,2.5,0.0
965,Ours,5.0,4.0,22.155673136318953
966,Ours,5.0,4.5,10.494792538256343
967,Ours,5.0,4.0,22.155673136318953
968,groundtruth,5.0,4.0,22.155673136318953
969,groundtruth,5.0,4.0,22.155673136318953
970,PAQ,3.0,1.0,99.70052911343527
971,PAQ,2.0,1.0,66.46701940895684
972,PAQ,2.0,1.0,66.46701940895684
973,Ours,3.0,2.0,39.88021164537411
974,Ours,4.0,2.0,66.46701940895684
975,Ours,4.0,1.0,119.6406349361223
976,groundtruth,5.0,4.5,10.494792538256343
977,groundtruth,5.0,2.5,66.46701940895684
978,groundtruth,5.0,5.0,0.0
979,PAQ,2.5,3.0,18.127368929715505
980,PAQ,2.0,3.0,39.88021164537411
981,PAQ,2.0,2.5,22.155673136318953
982,Ours,3.5,3.5,0.0
983,Ours,4.5,2.5,56.97173092196301
984,Ours,5.0,2.5,66.46701940895684
985,groundtruth,5.0,4.0,22.155673136318953
986,groundtruth,5.0,5.0,0.0
987,groundtruth,5.0,4.0,22.155673136318953
988,groundtruth,5.0,3.5,35.188422040035974
989,groundtruth,5.0,4.0,22.155673136318953
990,PAQ,4.0,5.0,22.155673136318953
991,PAQ,4.0,1.5,90.63684464857752
992,PAQ,4.0,4.5,11.729474013345326
993,Ours,5.0,5.0,0.0
994,Ours,5.0,5.0,0.0
995,Ours,4.5,3.0,39.8802116453741
